PropertyID,Country,Type,Bedrooms,Bathrooms,SquareFootage,Price,ListedDate,Status,Img,Location
1,Canada,Single Family,4,2,1200,800000,9/12/2022,Sold,https://lh3.googleusercontent.com/IrX8q_pNLb4ZmB4k8X5OOqLlNaXVrrCk4BT1WTaxtjB2mBSLfDQKSbi_-NnuirlA6D0YwfOrHvZlSL_SC1ssut0Uk8WPVxXHfEFzvWEgBWHMv7EIJfcBKzz7NRxdwA=s0,"Toronto, 123 Maple St"
2,Australia,Apartment,4,3,1200,400000,2/3/2023,Pending,https://thegreensgh.com/wp-content/uploads/slider/cache/2dd7e954146fa7a139344e68d7af7bf5/Greens-18-4-scaled.webp,"Sydney, 34 George St"
3,Germany,Townhouse,2,4,750,700000,2/10/2022,Sold,https://www.adobe.com/creativecloud/photography/discover/media_1159b19a8225b2413136806b0be15e4c921e3d122.png?width=750&format=png&optimize=medium,"Berlin, 12 Alexanderplatz"
4,Japan,Single Family,4,1,2500,400000,3/18/2024,Sold,https://i2.au.reastatic.net/800x600/abafe5a063891c635b1d496539ee21f0ccccde46481b4f53732dc826c7034e5f/image.jpg,"Tokyo, 1 Chiyoda"
5,Brazil,Single Family,3,4,2500,400000,8/2/2024,Sold,https://media.licdn.com/dms/image/C4D12AQHyQFztScy7lQ/article-cover_image-shrink_600_2000/0/1631006149800?e=2147483647&v=beta&t=FSTJIlkktklps6VGbJLGVVehV4W8RfLEIVayCXpoLkQ,"São Paulo, 33 Paulista Ave"
6,South Africa,Apartment,3,3,2000,300000,9/28/2022,Sold,https://img4.idealista.com/blur/WEB_LISTING-M/0/id.pro.es.image.master/44/ef/f6/978233714.jpg,"Cape Town, 123 Long St"
7,India,Apartment,3,4,1200,500000,4/10/2023,Sold,https://s3.eu-west-2.amazonaws.com/online24-production/listings/zfdqa/photos/ghcostablanca-propiedades-6321dd540aae8-source-gl.jpg,"Mumbai, 50 Marine Drive"
8,Italy,Single Family,5,3,2000,1000000,6/18/2023,Pending,https://res.listglobally.com/listings/5784499/87164663/4c457cd7d377048b644c3b3cc66d63b6?mode=crop&height=300,"Rome, 25 Via del Corso"
9,France,Condo,4,3,750,500000,9/22/2022,Sold,https://res.listglobally.com/listings/6239657/94745460/ffa44617f2ac8e0505ba36d6aac6b7f0?mode=crop&height=300,"Paris, 50 Champs-Élysées"
10,Mexico,Townhouse,1,3,1200,200000,1/3/2022,Sold,https://cdn.pixabay.com/photo/2016/11/18/17/46/house-1836070_1280.jpg,"Mexico City, 67 Reforma Ave"
11,Canada,Condo,5,2,1800,900000,8/5/2022,Sold,https://clarity.pk/wp-content/uploads/2021/03/realestate-pakistan-scaled.jpg,"Toronto, 123 Maple St"
12,Australia,Condo,2,3,1500,500000,2/13/2023,Sold,https://image.cnbcfm.com/api/v1/image/103500764-GettyImages-147205632-2.jpg?v=1691157601&w=929&h=523&vtcrop=y,"Sydney, 34 George St"
13,Germany,Condo,3,2,1000,1000000,6/8/2022,Sold,https://www.vapf.com/blog/wp-content/uploads/2017/06/2012-06-08ImamenPostNuevaPromocionMagnoliasDesign-1080x498.jpg,"Berlin, 12 Alexanderplatz"
